# tracer: nop
#
# entries-in-buffer/entries-written: 1993/1993   #P:2
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
            sshd-15643   [000] .... 229186.902148: tcp_probe: src=10.0.2.15:22 dest=10.0.2.2:35044 mark=0x0 data_len=0 snd_nxt=0xa3d5ad21 snd_una=0xa3d5acfd snd_cwnd=10 ssthresh=2147483647 snd_wnd=65535 srtt=1668 rcv_wnd=62780 sock_cookie=72
          <idle>-0       [001] .Ns. 229195.878866: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad57ef snd_una=0xb4acbf37 snd_cwnd=27 ssthresh=25 snd_wnd=134784 srtt=835174 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229196.033275: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad633f snd_una=0xb4acca87 snd_cwnd=27 ssthresh=25 snd_wnd=134784 srtt=882951 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229196.158579: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad68e7 snd_una=0xb4acd02f snd_cwnd=27 ssthresh=25 snd_wnd=134784 srtt=941168 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229196.206750: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad7437 snd_una=0xb4acdb7f snd_cwnd=28 ssthresh=25 snd_wnd=134784 srtt=1004879 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229196.255546: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad7f87 snd_una=0xb4ace6cf snd_cwnd=28 ssthresh=25 snd_wnd=134784 srtt=1060482 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229196.305000: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad8ad7 snd_una=0xb4acf21f snd_cwnd=28 ssthresh=25 snd_wnd=134784 srtt=1109119 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229196.353885: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ad9627 snd_una=0xb4acfd6f snd_cwnd=28 ssthresh=25 snd_wnd=134784 srtt=1146106 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229196.402178: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4ada177 snd_una=0xb4ad08bf snd_cwnd=28 ssthresh=25 snd_wnd=134784 srtt=1178551 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229196.477669: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4adacc7 snd_una=0xb4ad140f snd_cwnd=28 ssthresh=25 snd_wnd=134784 srtt=1207025 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229196.557911: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4adb817 snd_una=0xb4ad19b7 snd_cwnd=29 ssthresh=25 snd_wnd=134784 srtt=1235155 rcv_wnd=65024 sock_cookie=76
          <idle>-0       [001] ..s. 229196.637986: tcp_probe: src=[::ffff:10.0.0.1]:80 dest=[::ffff:10.0.0.2]:41236 mark=0x0 data_len=0 snd_nxt=0xb4adc367 snd_una=0xb4ad2507 snd_cwnd=29 ssthresh=25 snd_wnd=134784 srtt=1261312 rcv_wnd=65024 sock_cookie=76
